2024-04-16_03:22:58.011377, The student is not leaning forward, not making eye contact, smiling, and displaying open posture, current expression is sympathetic.
2024-04-16_03:25:44.135539, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:44.320242, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:44.483920, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:44.680399, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:44.860922, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:45.064995, The student is leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:45.250280, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:45.435703, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:45.608269, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:45.812232, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:46.011051, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:46.198812, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:46.397869, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:46.589464, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:46.768551, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:46.960733, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:47.157299, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:47.335195, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:47.523946, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:47.717873, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:47.904490, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:48.088945, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:48.268839, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:48.468912, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:48.659729, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:48.851920, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:49.046534, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:49.226895, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:49.421070, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:49.613534, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:49.925519, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:50.126529, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:50.318486, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:50.499964, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:50.703026, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:50.897887, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:51.061279, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:51.223582, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:51.420631, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:51.613947, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:51.774230, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:51.965775, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:52.159403, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:52.352542, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:52.529885, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:52.724807, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:52.908758, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:53.085153, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:53.245173, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:53.422641, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:53.589360, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:53.749888, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:25:53.913611, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:54.090087, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:25:54.246306, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:54.424281, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:54.580532, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:54.751583, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:54.941815, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:25:55.120727, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:55.279305, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:55.458843, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:55.620752, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:55.781750, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:55.954261, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:56.258802, The student is leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is disgust.
2024-04-16_03:25:56.425002, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:56.524412, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:56.695994, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:56.860512, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:57.050484, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:25:57.212513, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:25:57.379516, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:57.545108, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:57.728354, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:57.895126, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:58.063143, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:58.235448, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:25:58.409182, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:58.608651, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:58.800666, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:58.959908, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:59.152765, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:59.328308, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:59.501108, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:25:59.696000, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:25:59.879683, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:00.075425, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:00.271118, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:00.469758, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:00.669714, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:00.865590, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:01.049027, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:01.242225, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:01.423760, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_03:26:01.590157, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:01.783550, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:01.971872, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:02.283099, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:02.474992, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:02.672130, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:02.862083, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:03.055768, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:03.243564, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:03.440185, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:03.641928, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:03.834974, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:04.022895, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:04.223039, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:04.429583, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:04.623771, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:04.818854, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:05.011214, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:05.212260, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:05.398683, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:05.583539, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:05.771329, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is sad.
2024-04-16_03:26:05.953062, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is doubt.
2024-04-16_03:26:06.143712, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:06.345216, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:06.538318, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:06.713933, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:26:06.906769, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:07.100865, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:07.291478, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:07.479862, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:07.674043, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:07.865208, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:08.060746, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:08.241435, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:08.433999, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:08.629757, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:08.926074, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:26:09.130405, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:09.309972, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:09.484440, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is disgust.
2024-04-16_03:26:09.664659, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:09.833076, The student is not leaning forward, making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:26:10.027557, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:10.197556, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:10.380216, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:10.573021, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:10.741480, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:10.900760, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:11.068804, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:11.261822, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:11.472709, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:11.653139, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:11.847674, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:12.041379, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:12.241751, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:12.435180, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:12.632502, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:12.822625, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:13.015797, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:13.208682, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:13.397807, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:13.585719, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:13.752064, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:13.956810, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:14.151747, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:14.341795, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:14.532564, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:14.724310, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:15.060577, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:15.262472, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:15.447220, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:15.654067, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:15.845563, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:16.036927, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:16.232881, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:16.424086, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:16.614428, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:16.821587, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:17.030460, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:17.217241, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:17.414167, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:17.601232, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:17.792443, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:17.982239, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:18.178834, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:18.375548, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:18.545185, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:18.734910, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:18.927475, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:19.126352, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_03:26:19.315731, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:19.514494, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:19.703133, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:19.891739, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:20.084376, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_03:26:20.281170, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:20.475665, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:20.671361, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:20.863348, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:21.049566, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:21.247180, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:21.567569, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is angry.
2024-04-16_03:26:21.750209, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:21.927095, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:22.125225, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:22.319680, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:22.514201, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:22.713920, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:22.909169, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:23.103506, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:23.298739, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is surprise.
2024-04-16_03:26:23.480048, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:23.668186, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:23.879223, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:24.072649, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:24.255815, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:24.452918, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:24.643749, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:24.838845, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:25.030775, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:25.227173, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:25.424344, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:25.608360, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is confused.
2024-04-16_03:26:25.810094, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is happy.
2024-04-16_03:26:25.997060, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is happy.
2024-04-16_03:26:26.181793, The student is not leaning forward, not making eye contact, smiling, and displaying open posture, current expression is happy.
2024-04-16_03:26:26.382940, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:26.560263, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:26.756592, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is doubt.
2024-04-16_03:26:26.953198, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:27.142676, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is happy.
2024-04-16_03:26:27.325449, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is happy.
2024-04-16_03:26:27.528082, The student is not leaning forward, not making eye contact, smiling, and not displaying open posture, current expression is sympathetic.
2024-04-16_03:26:27.728116, The student is not leaning forward, making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:27.916138, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:28.234932, The student is not leaning forward, not making eye contact, not smiling, and not displaying open posture, current expression is neutral.
2024-04-16_03:26:28.428605, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:28.624203, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:28.831564, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:29.008351, The student is leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is neutral.
2024-04-16_03:26:29.190236, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is doubt.
2024-04-16_03:26:29.382955, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:29.582011, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:26:29.776263, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:29.971954, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:30.140960, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:26:30.328585, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:30.495298, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is confused.
2024-04-16_03:26:30.658561, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is sad.
2024-04-16_03:26:30.874454, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:31.051954, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:31.267248, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:31.441977, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:31.638475, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is angry.
2024-04-16_03:26:31.827026, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:32.020167, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
2024-04-16_03:26:32.208094, The student is not leaning forward, not making eye contact, not smiling, and displaying open posture, current expression is surprise.
